French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
bureau,office
